qc_section	group_name	feature_name	metric	value
per_feature	carcinoma_all	mutation_prevalence_ERBB2	imputed_value	0.0181192149555425
per_feature	carcinoma_all	mutation_prevalence_ERBB2	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_ERBB2	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_ERBB2	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_IDH1	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_IDH1	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_IDH1	n_unique_non_missing	16
per_feature	carcinoma_all	mutation_prevalence_IDH1	raw_sd	0.0304607541420785
per_feature	carcinoma_all	mutation_prevalence_IDH1	imputed_value	0.0070625980423472
per_feature	carcinoma_all	mutation_prevalence_IDH1	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_IDH1	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_IDH1	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_IDH2	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_IDH2	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_IDH2	n_unique_non_missing	16
per_feature	carcinoma_all	mutation_prevalence_IDH2	raw_sd	0.0156864047998229
per_feature	carcinoma_all	mutation_prevalence_IDH2	imputed_value	0.00470508879403764
per_feature	carcinoma_all	mutation_prevalence_IDH2	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_IDH2	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_IDH2	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_KRAS	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_KRAS	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_KRAS	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_KRAS	raw_sd	0.186450860748767
per_feature	carcinoma_all	mutation_prevalence_KRAS	imputed_value	0.0171126709073627
per_feature	carcinoma_all	mutation_prevalence_KRAS	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_KRAS	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_KRAS	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_MET	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_MET	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_MET	n_unique_non_missing	19
per_feature	carcinoma_all	mutation_prevalence_MET	raw_sd	0.0263822247676818
per_feature	carcinoma_all	mutation_prevalence_MET	imputed_value	0.0114270179710507
per_feature	carcinoma_all	mutation_prevalence_MET	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_MET	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_MET	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_MLH1	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_MLH1	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_MLH1	n_unique_non_missing	17
per_feature	carcinoma_all	mutation_prevalence_MLH1	raw_sd	0.0166319016083125
per_feature	carcinoma_all	mutation_prevalence_MLH1	imputed_value	0.00914161437684055
per_feature	carcinoma_all	mutation_prevalence_MLH1	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_MLH1	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_MLH1	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_MSH2	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_MSH2	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_MSH2	n_unique_non_missing	19
per_feature	carcinoma_all	mutation_prevalence_MSH2	raw_sd	0.0183249855846432
per_feature	carcinoma_all	mutation_prevalence_MSH2	imputed_value	0.00897808027224502
per_feature	carcinoma_all	mutation_prevalence_MSH2	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_MSH2	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_MSH2	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_MSH6	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_MSH6	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_MSH6	n_unique_non_missing	18
per_feature	carcinoma_all	mutation_prevalence_MSH6	raw_sd	0.0253250204179799
per_feature	carcinoma_all	mutation_prevalence_MSH6	imputed_value	0.0122083718744953
per_feature	carcinoma_all	mutation_prevalence_MSH6	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_MSH6	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_MSH6	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_MYC	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_MYC	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_MYC	n_unique_non_missing	14
per_feature	carcinoma_all	mutation_prevalence_MYC	raw_sd	0.00942497683822127
per_feature	carcinoma_all	mutation_prevalence_MYC	imputed_value	0.00403490150782007
per_feature	carcinoma_all	mutation_prevalence_MYC	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_MYC	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_MYC	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_NF1	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_NF1	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_NF1	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_NF1	raw_sd	0.0392981344408986
per_feature	carcinoma_all	mutation_prevalence_NF1	imputed_value	0.0381726350408904
