qc_section	project_id	project_code	metric	value
per_project	TCGA-PAAD	PAAD	missingness_fraction_genome_altered	1
per_project	TCGA-PAAD	PAAD	missingness_arm_gain_count	0.0898876404494382
per_project	TCGA-PAAD	PAAD	missingness_arm_loss_count	0.0898876404494382
per_project	TCGA-PAAD	PAAD	missingness_total_arm_alteration_count	0.0898876404494382
per_project	TCGA-PCPG	PCPG	n_samples	184
per_project	TCGA-PCPG	PCPG	median_purity	0.74
per_project	TCGA-PCPG	PCPG	median_ploidy	1.94
per_project	TCGA-PCPG	PCPG	median_aneuploidy_score	4
per_project	TCGA-PCPG	PCPG	median_fraction_genome_altered	NA
per_project	TCGA-PCPG	PCPG	missingness_purity	0.108695652173913
per_project	TCGA-PCPG	PCPG	missingness_ploidy	0.108695652173913
per_project	TCGA-PCPG	PCPG	missingness_aneuploidy_score	0.108695652173913
per_project	TCGA-PCPG	PCPG	missingness_fraction_genome_altered	1
per_project	TCGA-PCPG	PCPG	missingness_arm_gain_count	0.108695652173913
per_project	TCGA-PCPG	PCPG	missingness_arm_loss_count	0.108695652173913
per_project	TCGA-PCPG	PCPG	missingness_total_arm_alteration_count	0.108695652173913
per_project	TCGA-PRAD	PRAD	n_samples	498
per_project	TCGA-PRAD	PRAD	median_purity	0.61
per_project	TCGA-PRAD	PRAD	median_ploidy	1.98
per_project	TCGA-PRAD	PRAD	median_aneuploidy_score	1
per_project	TCGA-PRAD	PRAD	median_fraction_genome_altered	NA
per_project	TCGA-PRAD	PRAD	missingness_purity	0.0562248995983936
per_project	TCGA-PRAD	PRAD	missingness_ploidy	0.0562248995983936
per_project	TCGA-PRAD	PRAD	missingness_aneuploidy_score	0.0522088353413655
per_project	TCGA-PRAD	PRAD	missingness_fraction_genome_altered	1
per_project	TCGA-PRAD	PRAD	missingness_arm_gain_count	0.0522088353413655
per_project	TCGA-PRAD	PRAD	missingness_arm_loss_count	0.0522088353413655
per_project	TCGA-PRAD	PRAD	missingness_total_arm_alteration_count	0.0522088353413655
per_project	TCGA-READ	READ	n_samples	151
per_project	TCGA-READ	READ	median_purity	0.665
per_project	TCGA-READ	READ	median_ploidy	2.395
per_project	TCGA-READ	READ	median_aneuploidy_score	13
per_project	TCGA-READ	READ	median_fraction_genome_altered	NA
per_project	TCGA-READ	READ	missingness_purity	0.112582781456954
per_project	TCGA-READ	READ	missingness_ploidy	0.112582781456954
per_project	TCGA-READ	READ	missingness_aneuploidy_score	0.0927152317880795
per_project	TCGA-READ	READ	missingness_fraction_genome_altered	1
per_project	TCGA-READ	READ	missingness_arm_gain_count	0.0927152317880795
per_project	TCGA-READ	READ	missingness_arm_loss_count	0.0927152317880795
per_project	TCGA-READ	READ	missingness_total_arm_alteration_count	0.0927152317880795
per_project	TCGA-SARC	SARC	n_samples	239
per_project	TCGA-SARC	SARC	median_purity	0.78
per_project	TCGA-SARC	SARC	median_ploidy	2.12
per_project	TCGA-SARC	SARC	median_aneuploidy_score	10
per_project	TCGA-SARC	SARC	median_fraction_genome_altered	NA
per_project	TCGA-SARC	SARC	missingness_purity	0.0376569037656904
per_project	TCGA-SARC	SARC	missingness_ploidy	0.0376569037656904
per_project	TCGA-SARC	SARC	missingness_aneuploidy_score	0.0376569037656904
per_project	TCGA-SARC	SARC	missingness_fraction_genome_altered	1
per_project	TCGA-SARC	SARC	missingness_arm_gain_count	0.0376569037656904
per_project	TCGA-SARC	SARC	missingness_arm_loss_count	0.0376569037656904
per_project	TCGA-SARC	SARC	missingness_total_arm_alteration_count	0.0376569037656904
per_project	TCGA-SKCM	SKCM	n_samples	468
per_project	TCGA-SKCM	SKCM	median_purity	0.7
per_project	TCGA-SKCM	SKCM	median_ploidy	2.13
per_project	TCGA-SKCM	SKCM	median_aneuploidy_score	11
per_project	TCGA-SKCM	SKCM	median_fraction_genome_altered	NA
per_project	TCGA-SKCM	SKCM	missingness_purity	0.0213675213675214
