sample_barcode	patient_barcode	project_id	project_code	n_total_mutations	n_candidate_mutations_with_local_cn	n_copy_neutral_candidate_mutations	median_depth	median_observed_vaf	purity	ploidy	median_local_segment_mean	pct_mutations_neutral_like	pct_mutations_gain_like	pct_mutations_loss_like	eligible_for_limited_vaf_clustering	eligible_for_copy_number_aware_clustering	reason_not_copy_number_aware	readiness_class	notes
TCGA-51-4080-01A	TCGA-51-4080	TCGA-LUSC	LUSC	367	237	156	110.0	0.4245283018867924	0.96	2.03	0.1006	65.79710144927536	23.18840579710145	11.014492753623188	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-BA-4078-01A	TCGA-BA-4078	TCGA-HNSC	HNSC	611	355	30	114.0	0.4267515923566879	0.86	1.76	0.2059	9.199318568994888	67.63202725724021	23.168654173764907	False	False	requires_allele_specific_cn	insufficient_neutral_mutations	copy_neutral_candidates_lt_50
TCGA-X6-A7WA-01A	TCGA-X6-A7WA	TCGA-SARC	SARC	699	439	389	39.0	0.0952380952380952	0.81	1.94	0.0507	88.57566765578635	2.522255192878338	8.90207715133531	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-DX-A6YS-01A	TCGA-DX-A6YS	TCGA-SARC	SARC	582	358	160	38.0	0.0980392156862745	0.84	3.24	-0.0305	43.24324324324324	28.82882882882883	27.92792792792793	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-CV-7245-01A	TCGA-CV-7245	TCGA-HNSC	HNSC	1358	863	361	69.0	0.25	0.63	3.22	0.0915	43.527630582891746	40.878122634367905	15.594246782740349	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-KU-A66S-01A	TCGA-KU-A66S	TCGA-HNSC	HNSC	656	441	406	75.5	0.24621212121212122	0.78	2.07	-0.0248	93.14641744548287	6.074766355140187	0.778816199376947	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-CV-6935-01A	TCGA-CV-6935	TCGA-HNSC	HNSC	561	356	104	68.0	0.3728813559322034	0.8	1.85	0.1547	31.57894736842105	53.57142857142857	14.849624060150376	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-CR-7402-01A	TCGA-CR-7402	TCGA-HNSC	HNSC	1305	832	644	71.0	0.2758620689655172	0.61	2.04	0.0228	77.82225780624499	13.530824659727783	8.646917534027223	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-QK-A6VB-01A	TCGA-QK-A6VB	TCGA-HNSC	HNSC	623	400	159	86.0	0.25	0.78	3.33	0.1477	36.58940397350993	49.83443708609271	13.57615894039735	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GS-A9TT-01A	TCGA-GS-A9TT	TCGA-DLBC	DLBC	382	191	166	69.0	0.4439613526570048	0.91	2.07	-0.03275	85.17441860465117	11.337209302325581	3.488372093023256	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-BA-4076-01A	TCGA-BA-4076	TCGA-HNSC	HNSC	433	272	192	116.0	0.4	0.85	1.99	0.108	69.11764705882354	18.137254901960784	12.745098039215685	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-CV-6961-01A	TCGA-CV-6961	TCGA-HNSC	HNSC	1515	878	726	74.0	0.2244897959183673	0.57	1.92	0.0639	82.90479499652537	7.713690062543433	9.381514940931202	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
