qc_section	feature_name	feature_category	metric	value
per_feature	median_immune_inflammatory_score	expression	drop_reason	
per_feature	median_interferon_gamma_score	expression	n_missing_projects	0
per_feature	median_interferon_gamma_score	expression	missing_fraction	0
per_feature	median_interferon_gamma_score	expression	retained	TRUE
per_feature	median_interferon_gamma_score	expression	drop_reason	
per_feature	median_lineage_or_tissue_PC1	expression	n_missing_projects	0
per_feature	median_lineage_or_tissue_PC1	expression	missing_fraction	0
per_feature	median_lineage_or_tissue_PC1	expression	retained	TRUE
per_feature	median_lineage_or_tissue_PC1	expression	drop_reason	
per_feature	median_lineage_or_tissue_PC2	expression	n_missing_projects	0
per_feature	median_lineage_or_tissue_PC2	expression	missing_fraction	0
per_feature	median_lineage_or_tissue_PC2	expression	retained	TRUE
per_feature	median_lineage_or_tissue_PC2	expression	drop_reason	
per_feature	median_proliferation_score	expression	n_missing_projects	0
per_feature	median_proliferation_score	expression	missing_fraction	0
per_feature	median_proliferation_score	expression	retained	TRUE
per_feature	median_proliferation_score	expression	drop_reason	
per_feature	median_stromal_score	expression	n_missing_projects	0
per_feature	median_stromal_score	expression	missing_fraction	0
per_feature	median_stromal_score	expression	retained	TRUE
per_feature	median_stromal_score	expression	drop_reason	
per_feature	tmb_proxy_mean_nonsynonymous_count	mutation_count_proxy	n_missing_projects	0
per_feature	tmb_proxy_mean_nonsynonymous_count	mutation_count_proxy	missing_fraction	0
per_feature	tmb_proxy_mean_nonsynonymous_count	mutation_count_proxy	retained	TRUE
per_feature	tmb_proxy_mean_nonsynonymous_count	mutation_count_proxy	drop_reason	
per_feature	tmb_proxy_mean_total_mutation_count	mutation_count_proxy	n_missing_projects	0
per_feature	tmb_proxy_mean_total_mutation_count	mutation_count_proxy	missing_fraction	0
per_feature	tmb_proxy_mean_total_mutation_count	mutation_count_proxy	retained	TRUE
per_feature	tmb_proxy_mean_total_mutation_count	mutation_count_proxy	drop_reason	
per_feature	tmb_proxy_median_nonsynonymous_count	mutation_count_proxy	n_missing_projects	0
per_feature	tmb_proxy_median_nonsynonymous_count	mutation_count_proxy	missing_fraction	0
per_feature	tmb_proxy_median_nonsynonymous_count	mutation_count_proxy	retained	TRUE
per_feature	tmb_proxy_median_nonsynonymous_count	mutation_count_proxy	drop_reason	
per_feature	tmb_proxy_median_total_mutation_count	mutation_count_proxy	n_missing_projects	0
per_feature	tmb_proxy_median_total_mutation_count	mutation_count_proxy	missing_fraction	0
per_feature	tmb_proxy_median_total_mutation_count	mutation_count_proxy	retained	TRUE
per_feature	tmb_proxy_median_total_mutation_count	mutation_count_proxy	drop_reason	
