sample_barcode	patient_barcode	project_id	project_code	selected_gdc_file_id	selected_file_name	selected_data_type	match_level	file_size	n_candidate_files	selection_reason	selection_rank	notes
TCGA-L9-A7SV-01A	TCGA-L9-A7SV	TCGA-LUAD	LUAD	ccb8e37d-d9db-45e6-bebe-09c86d2a60a7	NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_B01_1486510.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	56506	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-21-1080-01A	TCGA-21-1080	TCGA-LUSC	LUSC	4a82e74c-004f-4c92-9dfb-8be38d5aef21	BLADE_p_ICPp4_TCGAb23_SNP_N_GenomeWideSNP_6_D11_530128.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	18779	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-34-2600-01A	TCGA-34-2600	TCGA-LUSC	LUSC	d1937e40-bcdc-4864-b5d1-57e52dbcc7d1	PAGOD_p_TCGAb31_SNP_S_GenomeWideSNP_6_A04_584864.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	30796	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-43-6143-01A	TCGA-43-6143	TCGA-LUSC	LUSC	65a72357-372b-4013-8124-fbc2905dc91d	GUCKS_p_TCGA_b129_140_SNP_N_GenomeWideSNP_6_F04_802164.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	53610	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-51-4080-01A	TCGA-51-4080	TCGA-LUSC	LUSC	99019a56-b5b7-4686-9c19-6e81781240ec	WHIRR_p_TCGA_168_169_170_redo_N_GenomeWideSNP_6_F05_845230.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	24057	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	tie_resolved_by_file_size_or_file_id
TCGA-90-7769-01A	TCGA-90-7769	TCGA-LUSC	LUSC	f6c93405-0552-44bc-bf50-e9d4d2cab955	PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_B07_932470.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	25415	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-90-7964-01A	TCGA-90-7964	TCGA-LUSC	LUSC	cf448c1e-0d32-4dec-b093-69d22bbef4d5	XYLEM_p_TCGASNP_207_212_N_GenomeWideSNP_6_E11_1051220.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	28736	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-94-8490-01A	TCGA-94-8490	TCGA-LUSC	LUSC	e176020e-5323-4172-ab37-3867dd5400b9	RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_E03_1245230.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	13340	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-NC-A5HN-01A	TCGA-NC-A5HN	TCGA-LUSC	LUSC	574c186e-718c-40e6-9448-9420ea576090	FERLY_p_TCGA_batch_283_N_GenomeWideSNP_6_F12_1347110.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	45965	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AG-A002-01A	TCGA-AG-A002	TCGA-READ	READ	d45b0fb4-3c61-4423-80d8-7eeb9e04de54	SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	14539	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
